date,symbol,close
2023-08-11,XLP,68.9457
2023-08-18,XLP,67.305
2023-08-25,XLP,66.752
2023-09-01,XLP,66.4939
2023-09-08,XLP,66.0883
2023-09-15,XLP,66.4109
2023-09-22,XLP,65.0886
2023-09-29,XLP,63.8543
2023-10-06,XLP,61.8685
2023-10-13,XLP,61.9891
2023-10-20,XLP,62.4252
2023-10-27,XLP,61.7849
2023-11-03,XLP,63.7987
2023-11-10,XLP,63.9935
2023-11-17,XLP,64.4854
2023-11-24,XLP,65.3391
2023-12-01,XLP,65.8402
2023-12-08,XLP,65.0607
2023-12-15,XLP,66.1093
2023-12-22,XLP,66.5918
2023-12-29,XLP,67.3492
2024-01-05,XLP,67.3305
2024-01-12,XLP,68.0691
2024-01-19,XLP,67.3679
2024-01-26,XLP,67.9102
2024-02-02,XLP,69.3501
2024-02-09,XLP,68.359
2024-02-16,XLP,68.5179
2024-02-23,XLP,69.9204
2024-03-01,XLP,69.6212
2024-03-08,XLP,70.2758
2024-03-15,XLP,70.6217
2024-03-22,XLP,71.2452
2024-03-29,XLP,71.9234
2024-04-05,XLP,70.0114
2024-04-12,XLP,69.1166
2024-04-19,XLP,70.115
2024-04-26,XLP,71.1982
2024-05-03,XLP,71.4713
2024-05-10,XLP,73.1102
2024-05-17,XLP,73.6659
2024-05-24,XLP,72.6204
2024-05-31,XLP,72.8465
2024-06-07,XLP,73.1479
2024-06-14,XLP,72.4791
2024-06-21,XLP,73.1573
2024-06-28,XLP,72.6752
2024-07-05,XLP,73.4344
2024-07-12,XLP,73.5008
2024-07-19,XLP,74.1082
2024-07-26,XLP,74.4878
2024-08-02,XLP,75.2186
2024-08-09,XLP,75.1142
2024-08-16,XLP,76.4048
2024-08-23,XLP,77.667
2024-08-30,XLP,78.3028
2024-09-06,XLP,78.7584
2024-09-13,XLP,79.6504
2024-09-20,XLP,78.8153
2024-09-27,XLP,79.2055
2024-10-04,XLP,77.7267
2024-10-11,XLP,77.8889
2024-10-18,XLP,78.4614
2024-10-25,XLP,77.3356
2024-11-01,XLP,76.4674
2024-11-08,XLP,77.1066
2024-11-15,XLP,76.2861
2024-11-22,XLP,78.0797
2024-11-29,XLP,79.3963
2024-12-06,XLP,78.5949
2024-12-13,XLP,78.2705
2024-12-20,XLP,76.267
2024-12-27,XLP,76.2305
2025-01-03,XLP,75.298
2025-01-10,XLP,73.3851
2025-01-17,XLP,74.2502
2025-01-24,XLP,74.8847
2025-01-31,XLP,75.9229
2025-02-07,XLP,76.2786
2025-02-14,XLP,77.4898
2025-02-21,XLP,78.999
2025-02-28,XLP,79.8642
